offensedescription,offenserace,offensegender,offenseage,offensezip,offensestatus
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75220,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75235,Suspended
INVESTIGATION OF THEFT//THEFT,W,M,53,75023,Suspended
THEFT,W,F,56,75244,Suspended
INVESTIGATION OF THEFT,B,M,51,75201,Open
ASSAULT FV MC,Withheld,Withheld,Withheld,75203,Cleared by Arrest
THEFT,Withheld,Withheld,Withheld,75215,Cleared by Exceptional Arrest
INV OF BMV /BMV,W,M,54,75032,Suspended
ACC INV DAMAGE VEHICLE/FLID,B,F,29,75215,Suspended
INV OF IDENTITY THEFT,W,F,50,75215,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75243,Cleared by Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75007,Suspended
ASSAULT FV M/A,Withheld,Withheld,Withheld,75209,Cleared by Arrest
CRIMINAL MISCHIEF,B,F,22,75287,Cleared by Exceptional Arrest
UNEXPLAINED/NATURAL DEATH,W,M,76,75220,Administratively Closed
BMV,W,F,28,75206,Suspended
BURGLARY,L,F,37,75217,Suspended
HARASSMENT BY TELEPHONE,W,M,56,75228,Open
ACC INV DMG VEHICLE   FLID,W,F,20,75238,Suspended
ROBBERY,B,M,25,75115,Suspended
CRIMINAL MISCHIEF,W,M,42,75204,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75219,Administratively Closed
CRIMINAL MISCHIEF,W,F,75,75070,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75216,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75287,Unfounded
INJURED PERSON,B,F,45,75115,Suspended
UUMV,B,M,42,75227,Suspended
SEXUAL ASSAULT,Withheld,Withheld,Withheld,78662,Suspended
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75220,Administratively Closed
DUTY ON STRIK UNATTEND VEH,L,M,18,75214,Suspended
BURGLARY,L,M,36,75241,Suspended
BMV,L,F,51,75228,Suspended
RUN AWAY,Withheld,Withheld,Withheld,75241,Administratively Closed
BURGLARY OF A RESIDENCE,L,M,29,75243,Suspended
BURGLARY OF HABITATION,L,M,28,75231,Suspended
BMV,L,M,31,75253,Open
ROBBERY,L,M,54,75220,Suspended
HARASSING PHONE CALLS,W,F,41,75248,Cleared by Exceptional Arrest
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75228,Suspended
CRIMINAL MISCHIEF,W,M,57,75211,Suspended
BMV,L,M,25,75227,Suspended
INV OF CHILD ENDANGERMENT,Withheld,Withheld,Withheld,75217,Administratively Closed
INV OF BURG/CRIMINAL MISCHIEF,W,M,30,75204,Suspended
CRIMINAL MISCHIEF,B,F,35,75214,Suspended
BURGLARY OF A RESIDENCE,L,M,46,75217,Open
BMV,B,M,49,75185,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75204,Cleared by Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75215,Cleared by Arrest
INV OF RES BURGLARY,W,F,60,75209,Suspended
INV ROBBERY(THEFT FROM PERSON),W,M,32,60647,Suspended
BURGLARY OF RESIDENCE,L,F,70,75229,Cleared by Arrest
HARASSMENT,B,F,24,75217,Suspended
BURGLARY OF RESIDENCE,B,M,52,75227,Open
CRIMINAL MISCHIEF,B,M,41,75115,Suspended
ACCIDENT INVOLV DAMAGE VEH,W,M,19,75228,Suspended
AGG ASSAULT F/V,B,F,29,75043,Open
BURGLARY OF RESIDENCE,W,F,80,75217,Suspended
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75214,Suspended
AUTO ACCESSORY THEFT,L,M,18,75074,Suspended
CRIMINAL MISCHIEF,L,F,44,75240,Cleared by Arrest
INVESTIGATION OF UUMV UUMV,L,M,39,75238,Unfounded
BMV,W,M,28,75240,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,76010,Cleared by Exceptional Arrest
BMV     (PRIMARY),W,M,50,16728,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75237,Administratively Closed
ASSAULT FV M/C,Withheld,Withheld,Withheld,75237,Cleared by Arrest
UUMV,L,F,38,75210,Cleared by Arrest
THEFT,W,M,60,75211,Suspended
MISSING PERSON/WTL,L,M,49,75228,Administratively Closed
RUNAWAY,Withheld,Withheld,Withheld,75216,Administratively Closed
THEFT        (PRIMARY),W,F,19,75287,Suspended
CRIMINAL MISCHIEF,L,M,35,75214,Suspended
INVEST OF BURG OF RESIDENCE,B,F,23,75227,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75237,Cleared by Arrest
RUNAWAY,Withheld,Withheld,Withheld,75253,Administratively Closed
CRIMINAL MISCHIEF//BMV,W,M,29,75214,Suspended
BURGLARY OF RESIDENCE,Withheld,Withheld,Withheld,75243,Suspended
AGGRAVATED ROBBERY,L,M,45,75227,Suspended
AGRAVATED ROBBERY (PRIMARY),B,F,49,75241,Suspended
BURGLARY OF A MOTOR VEHICLE,L,F,42,75224,Suspended
