offensedescription,offenserace,offensegender,offenseage,offensezip,offensestatus
THEFT,W,F,34,75034,Suspended
CRIMINAL MISCHIEF,L,F,28,75248,Suspended
CRIMINAL MISCHIEF,L,M,28,75217,Suspended
UUMV,W,M,55,75228,Cleared by Exceptional Arrest
BURGLARY OF VEHICLE,W,M,40,76014,Suspended
UUMV,L,F,21,75216,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75287,Administratively Closed
BURGLARY OF A RESIDENCE,B,F,50,75238,Suspended
BURGLARY OF A HABITATION,W,F,67,75229,Suspended
CRIMINAL MICHEIF,L,F,19,75220,Suspended
BMV,W,M,54,75229,Suspended
INDECENCY WITH A CHILD,Withheld,Withheld,Withheld,75208,Cleared by Arrest
THEFT OF PROPERTY,W,M,28,75206,Cleared by Arrest
UUMV,L,M,35,75253,Suspended
SEX ASSAULT,Withheld,Withheld,Withheld,75146,Cleared by Arrest
THEFT,B,F,55,75204,Open
FOUND PROPERTY,B,F,84,75223,Suspended
INDECENCY WITH A CHILD/CONTACT,Withheld,Withheld,Withheld,75211,Cleared by Arrest
INV OF THEFT,W,F,74,75205,Suspended
CHILD ENDANGERMENT(LEFT ALON,Withheld,Withheld,Withheld,75232,Cleared by Exceptional Arrest
BMV,W,M,42,89121,Suspended
ASSAULT FV,Withheld,Withheld,Withheld,75227,Cleared by Arrest
INJURED PERSON,B,F,30,75243,Suspended
LOST PROPERTY,B,M,74,75216,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75232,Administratively Closed
FOUND PROPERTY,W,M,70,75228,Administratively Closed
INJURY TO DISABLED,Withheld,Withheld,Withheld,75224,Cleared by Arrest
INV THEFT,W,M,42,75204,Suspended
BMV,W,F,60,73432,Suspended
UNEXPLAINED DEATH,W,F,86,75287,Open
ACC INV DMG VEHICLE,L,F,24,75203,Suspended
INVEST OF BURGLARY,B,F,55,75237,Suspended
CRIMINAL MISCHIEF,L,F,50,75203,Suspended
CRIMINAL MISCHIEF,B,M,30,75243,Suspended
ACC INV PERS INJ OR DEATH,L,F,46,75223,Suspended
BURGLARY OF A HABITATION,B,M,38,75241,Suspended
RECKLESS DAMAGE,L,F,43,75243,Suspended
ATTEMPT UUMV,L,F,34,75211,Suspended
ASSAULT MA FV,Withheld,Withheld,Withheld,75217,Cleared by Exceptional Arrest
BMV,C,F,26,76230,Suspended
AGG ROBBERY (INDIV),B,M,56,75215,Suspended
THEFT,L,M,65,75208,Suspended
PRISONER PROPERTY,L,M,28,75270,Suspended
BURGLARY OF HABITATION,W,M,29,75287,Suspended
AGGRAVATED ASSAULT D/W,B,M,34,75210,Cleared by Exceptional Arrest
ASSAULT FV M/C,Withheld,Withheld,Withheld,75226,Cleared by Arrest
ACC INV DMG VEHICLE,A,M,21,75052,Suspended
CRIMINAL MISCHIEF,A,F,63,75287,Suspended
INTERFERENCE W/ CHILD CUSTOD,Withheld,Withheld,Withheld,75211,Cleared by Exceptional Arrest
ASSAULT M/C FV,Withheld,Withheld,Withheld,75253,Cleared by Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75287,Cleared by Exceptional Arrest
INV OF BURGLARY,L,F,44,75254,Suspended
INVESTG OF ROBBERY,W,M,28,75230,Suspended
BURGLARY MOTOR VEHICLE,L,F,31,75231,Suspended
BMV,B,F,43,75070,Suspended
BURGLARY OF ATTACHED GARAGE,W,M,25,75228,Suspended
INV THEFT,B,M,51,75231,Suspended
ASSAULT M/C OFFENSIVE CONTACT,Withheld,Withheld,Withheld,75243,Cleared by Arrest
CRIMINAL MISCHIEF,W,M,26,76155,Cleared by Exceptional Arrest
HIT N RUN,L,F,39,75074,Suspended
WANT TO LOCATE,B,F,46,75217,Administratively Closed
INV BMV//AUTO ACCESSORY THEFT,B,M,43,75237,Suspended
DEADLY CONDUCT,Withheld,Withheld,Withheld,75180,Suspended
AUTO ACC THEFT,W,M,28,76063,Suspended
AGG ROBBERY,L,F,19,75212,Suspended
THEFT FROM PERSON,B,F,17,75224,Suspended
ASSAULT M/A STRANGULATION,Withheld,Withheld,Withheld,75249,Cleared by Exceptional Arrest
INV OF DEBIT CARD ABUSE,B,F,20,75237,Suspended
ASSAULT M/A    (ASSAULT M/C),Withheld,Withheld,Withheld,75243,Cleared by Arrest
BURGLARY (BUSINESS),W,M,60,75226,Suspended
AGG ASSAULT W DEADLY WEAPON,B,M,33,75237,Suspended
INV OF BUGLARY OF RESIDENCE,B,F,25,75243,Suspended
INTERFERENCE W/CHILD CUSTODY,Withheld,Withheld,Withheld,75211,Cleared by Exceptional Arrest
ASSAULT M/C,Withheld,Withheld,Withheld,75249,Cleared by Arrest
WANT TO LOCATE,L,M,25,75216,Suspended
BURGLARY/HABITATION,L,F,41,75237,Cleared by Arrest
BMV,L,F,37,75208,Suspended
BURG OF RESIDENCE,L,M,64,75210,Suspended
SEXUAL ASSAULT OF A CHILD,Withheld,Withheld,Withheld,75228,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75216,Administratively Closed
UUMV,B,F,36,75217,Suspended
THEFT,W,M,19,75211,Cleared by Exceptional Arrest
AGGRAVATED ASSAULT W/DW,L,M,35,75217,Cleared by Exceptional Arrest
RUNAWAY,Withheld,Withheld,Withheld,75287,Administratively Closed
ASSAULT FV MA,Withheld,Withheld,Withheld,75216,Cleared by Arrest
ASSAULT FV,Withheld,Withheld,Withheld,75219,Cleared by Arrest
BMV,L,M,29,75223,Suspended
ATTEMPTED U.U.M.V.,L,F,29,75206,Suspended
INVESTIGATION ASSAULT M/C,B,M,55,75215,Suspended
INJURED PERSON(DOG BITE),Withheld,Withheld,Withheld,75104,Suspended
ASSAULT,Withheld,Withheld,Withheld,75448,Suspended
ASSAULT FV M/C,Withheld,Withheld,Withheld,75238,Cleared by Arrest
ACC INV DMG VEHICLE,L,M,20,75218,Suspended
BMV,L,M,40,75227,Suspended
ROBBERY F.V.,B,F,22,75115,Cleared by Arrest
ASSAULT M/A,Withheld,Withheld,Withheld,75216,Suspended
INV OF BURGLARY///BURGLARY,L,M,37,75211,Suspended
UUMV,L,M,35,75253,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,B,M,28,75221,Suspended
CRIMINAL MISCHIEF,W,F,32,75080,Suspended
CRIMINAL MISCHIEF,B,M,36,75237,Suspended
INVESTIGATON OF THEFT,B,F,31,75237,Suspended
BURGLARY OF ATTACHED GARAGE,W,M,56,75230,Suspended
UUMV,B,M,25,75115,Suspended
ASSAULT M/C (THREATS),Withheld,Withheld,Withheld,75217,Cleared by Arrest
BMV,W,M,66,88345,Suspended
CRIMINAL MISCHIEF,B,F,57,75216,Unfounded
CRIMINAL MISCHIEF,L,F,20,75224,Suspended
INV THEFT,B,F,19,75232,Suspended
UNEXPLAINED DEATH,B,M,66,75228,Suspended
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75230,Open
UNEXPLAINED DEATH/ NATURAL,Withheld,Withheld,Withheld,75203,Administratively Closed
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75216,Cleared by Arrest
AGGRAVATED SEXUAL ASSAULT F/V,Withheld,Withheld,Withheld,75241,Cleared by Exceptional Arrest
BURGLARY,B,F,36,75227,Suspended
INV OF ASSAULT M/C,B,F,19,75241,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75247,Suspended
THEFT,W,F,51,75150,Suspended
BURG OF RESIDENCE,L,F,25,75212,Suspended
CRIMINAL MISCHIEF,L,F,27,75227,Suspended
THREATENING TEXT MESSAGES,L,F,35,75220,Open
ATTEMPT UUMV,W,M,64,75227,Suspended
CRIMINAL MISCHIEF,L,F,21,75203,Suspended
INV OF ASSAULT//ASSAULT M/C,Withheld,Withheld,Withheld,75204,Suspended
INVESTIGATION OF ASSAULT,B,M,29,75243,Cleared by Exceptional Arrest
CHECK FRAUD,W,M,52,75206,Suspended
DUTY ON STRIKE UNATTEND VEH,L,M,24,75208,Suspended
ACC INV DMG VEHICLE   FLID,B,M,59,75232,Suspended
FORGERY/ID THEFT,A,F,46,75252,Suspended
THEFT,W,F,61,75241,Suspended
UUMV,L,M,25,75212,Suspended
AGG SEX ASSAULT,Withheld,Withheld,Withheld,75115,Suspended
CRIMINAL MISCHIEF,A,F,57,75228,Suspended
HARASSMENT ELECTRONIC DEVICE,W,M,47,75287,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75241,Suspended
BMV,L,F,22,75211,Suspended
BURGLARY OF VEHICLE,W,M,24,75206,Suspended
BURGLARY OF RESIDENCE,B,F,30,75232,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75206,Unfounded
DUTY ON STRIKE UNTATTENDED VEH,B,M,59,75232,Suspended
BURGLARY VACANT REMODEL,B,M,61,75853,Suspended
BURGLARY HABITATION,B,F,42,75243,Suspended
THEFT OF KEYS,B,F,57,75241,Suspended
INTERFERENCE W/ CHILD CUSTODY,Withheld,Withheld,Withheld,75039,Cleared by Exceptional Arrest
BURGLARY,B,M,46,75224,Suspended
UNEXPLAINED DEATH\NATURAL,W,M,51,75229,Administratively Closed
THEFT,W,F,33,85032,Cleared by Arrest
DUTY ON STRIKE UNATTEND VEH,L,F,36,75115,Suspended
RUNNAWAY,Withheld,Withheld,Withheld,75227,Suspended
AGGRAVATED ASSAULT,Withheld,Withheld,Withheld,75287,Cleared by Exceptional Arrest
AGG ASSALT W/DEADLY WEAPON F,B,F,48,75217,Unfounded
CRIMINAL MISCHIEF,L,F,65,75212,Suspended
BURGLARY,A,F,33,75204,Open
INTERFERENCE W/ CHILD CUSTODY,Withheld,Withheld,Withheld,75048,Cleared by Exceptional Arrest
COMPELLING PROSTITUTION,Withheld,Withheld,Withheld,75023,Cleared by Arrest
ASSAULT F/V,Withheld,Withheld,Withheld,75232,Cleared by Arrest
UUMV,L,M,45,75228,Suspended
CRIMINAL MISCHIEF,B,F,48,75212,Suspended
THEFT,B,M,29,75104,Suspended
ACC INV DMG VEHICLE,W,F,26,75203,Suspended
ASSAULT,Withheld,Withheld,Withheld,75074,Suspended
THEFT,B,F,69,75146,Suspended
ASSAULT F/V STRANGULATION,Withheld,Withheld,Withheld,75093,Unfounded
BURG OF BLDG,L,F,43,75217,Suspended
ASSAULT BY THREAT,Withheld,Withheld,Withheld,75227,Cleared by Arrest
ASSAULT M/A,Withheld,Withheld,Withheld,75212,Cleared by Arrest
AGGRAVATED ASSAULT WITH A KN,B,M,23,75212,Cleared by Exceptional Arrest
THEFT M/A,B,F,31,75216,Cleared by Arrest
DUTY STRIKING UNATT VEH FLID,W,F,40,76063,Suspended
AGG ASLT/AGG ASSAULT PUB SERV.,L,M,43,75211,Suspended
HARRASSING/OBSCENE PHONE CAL,W,F,28,75243,Suspended
INVESTIGATION OF BMV,B,F,28,75232,Suspended
ACC INV DMG VEH,W,M,60,75238,Suspended
INVESTIGATION OF THEFT,B,F,64,75233,Suspended
BURGLARY / ASSAULT,Withheld,Withheld,Withheld,75220,Cleared by Exceptional Arrest
UUMV,B,M,44,75224,Suspended
ASSAULT FV M/A,Withheld,Withheld,Withheld,75224,Cleared by Exceptional Arrest
BURGLARY OF A MOTOR VEH,W,F,68,75227,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75204,Suspended
ASSAULT M/C F/V,Withheld,Withheld,Withheld,75219,Cleared by Arrest
BURGLARY OF RESIDENCE,B,M,67,75232,Suspended
ASSAULT FV STRANGULATION M/A,Withheld,Withheld,Withheld,75216,Cleared by Arrest
THEFT,B,M,44,75243,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75092,Suspended
"ASSAULT, THREAT, M/C",Withheld,Withheld,Withheld,75212,Cleared by Arrest
ASLT M/A FV,Withheld,Withheld,Withheld,75217,Cleared by Arrest
INV OF ASSAULT//ASSAULT,Withheld,Withheld,Withheld,75150,Suspended
INV OF IDENTITY THEFT,W,M,45,92656,Suspended
THEFT - AUTO ACCESSORY,W,F,25,75218,Suspended
CRIMINAL MISCHIEF,B,F,22,75227,Suspended
CRIMINAL MISCHIEF,L,M,29,75211,Suspended
AGG ROBBERY (CARJACKING),L,M,20,75208,Suspended
INJURED PERSON,L,M,29,75220,Suspended
AGG ASSAULT MOTOR VEHICLE,Withheld,Withheld,Withheld,75228,Suspended
BURGLARY OF HABITATION,B,F,48,75228,Suspended
DUTY ON STRIKE UNATTEND VEH,W,F,27,75206,Suspended
ASSAULT F/V,Withheld,Withheld,Withheld,75217,Suspended
ASSAULT FV M/C,Withheld,Withheld,Withheld,75217,Cleared by Arrest
ASLT M/A ASSAULT W/PRIOR F/3,Withheld,Withheld,Withheld,75235,Suspended
UNEXPLAINED DEATH\NATURAL,W,M,61,75206,Administratively Closed
LOST PROPERTY,B,F,50,75240,Suspended
UUMV,B,M,34,75248,Suspended
BMV,B,M,22,75236,Suspended
INV OF THEFT // THEFT,W,F,34,75204,Suspended
SEX ASSAULT,Withheld,Withheld,Withheld,75237,Suspended
BMV,B,F,56,75216,Suspended
ASSAULT M/A (FV),Withheld,Withheld,Withheld,75217,Cleared by Exceptional Arrest
BURGLARY,L,M,24,75215,Suspended
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75212,Cleared by Exceptional Arrest
INVEST OF BURGLARY OF BUILDI,U,M,80,75253,Open
ACC INV DMG VEHICLE,B,F,34,75216,Suspended
ASSAULT,Withheld,Withheld,Withheld,75152,Suspended
INVESTIGATION OF THEFT,B,M,37,75115,Suspended
BURGLARY OF RESIDENCE,L,M,18,75216,Suspended
THEFT,B,F,41,75227,Suspended
THEFT,B,F,18,75210,Suspended
DUTY ON STRIKE FIX OR HWY LAND,L,F,41,75208,Suspended
BMV,L,M,25,75211,Suspended
UUMV,L,F,39,75236,Suspended
ATTEMPT SUICIDE,Withheld,Withheld,Withheld,75217,Suspended
OVERDOSE,Withheld,Withheld,Withheld,75211,Suspended
BMV,W,F,45,75208,Unfounded
ASSAULT M/A (FV),Withheld,Withheld,Withheld,75215,Cleared by Arrest
INJURED PERSON/DOG BITE,B,F,30,75211,Suspended
INVESTIGATION OF UUMV,W,F,30,75217,Suspended
ASSAULT/INJURY,Withheld,Withheld,Withheld,75218,Suspended
INVESTIGATION OF BMV,B,F,25,75217,Suspended
UUMV,W,M,25,75165,Suspended
INV OF THEFT,B,M,23,75228,Suspended
CRIMINAL MISCHIEF,B,M,66,75228,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75211,Administratively Closed
M/C F/V ASSAULT,Withheld,Withheld,Withheld,75217,Cleared by Arrest
ASSAULT MA FV,Withheld,Withheld,Withheld,75216,Cleared by Exceptional Arrest
UUMV,B,M,40,75241,Unfounded
AGG ASSAULT,Withheld,Withheld,Withheld,75215,Suspended
ASSAULT STRANGULATION (F/V),Withheld,Withheld,Withheld,75204,Cleared by Exceptional Arrest
BURGLARY OF RESIDENCE,B,F,27,75217,Suspended
WANT TO LOCATE,B,F,19,75210,Suspended
VERBAL ASSAULT,Withheld,Withheld,Withheld,75216,Suspended
ATTEMPT SUICIDE/APOWW,Withheld,Withheld,Withheld,75203,Suspended
INT W CHILD CUSTODY,Withheld,Withheld,Withheld,75211,Cleared by Exceptional Arrest
ASSAULT M/A (FV),Withheld,Withheld,Withheld,75216,Cleared by Exceptional Arrest
AGG ASSAULT,W,M,49,75217,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75402,Open
THEFT OF SERVICE,B,M,49,75243,Suspended
THEFT/MAIL,W,F,74,75223,Suspended
CRIMINAL MISCHIEF,B,F,58,75287,Suspended
BURGLARY OF RESIDENCE,L,F,28,75253,Suspended
ASSAULT FV M/A,Withheld,Withheld,Withheld,75253,Cleared by Exceptional Arrest
ROBBERY,B,F,61,75217,Suspended
AGG ASSAULT W/ MV PUBLIC SER,L,M,27,75231,Cleared by Exceptional Arrest
INVEST OF AGG ASSAULT,B,M,37,75216,Suspended
ASSAULT MA F/V,Withheld,Withheld,Withheld,75215,Cleared by Arrest
ASSAULT M/A FV STRANGULATION,Withheld,Withheld,Withheld,75243,Cleared by Arrest
ASSAULT F/V MA STRANGULATION,Withheld,Withheld,Withheld,75216,Cleared by Arrest
AGGRAVATED ROBBERY,L,F,30,75240,Cleared by Arrest
ASSAULT M/A//ASSAULT MC,Withheld,Withheld,Withheld,75241,Cleared by Arrest
INV OF HARASSMENT,L,F,43,75223,Suspended
INV OF DEBIT CARD ABUSE,B,F,58,75287,Suspended
ASSAULT M/A FV,Withheld,Withheld,Withheld,75228,Cleared by Exceptional Arrest
ATTEMPT BURG HAB,L,M,57,75253,Suspended
CRIMINAL MISCHIEF,L,M,35,75254,Suspended
ASSAULT (FV) STRANGULATION,Withheld,Withheld,Withheld,75232,Cleared by Arrest
CRIMINAL MISCHIEF,B,F,42,75243,Suspended
BMV,L,F,28,75229,Suspended
BURGLARY,B,F,46,75238,Suspended
AGG ASLT FV,Withheld,Withheld,Withheld,75180,Cleared by Exceptional Arrest
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75137,Cleared by Arrest
RUNAWAY,Withheld,Withheld,Withheld,75231,Administratively Closed
INV BURGLARY OF HAB,B,M,50,75211,Suspended
HARASSING PHONE CALL,L,F,25,75232,Suspended
CRIMINAL MISCHIEF,W,M,35,75206,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75243,Administratively Closed
ASSAULT FV/MA STRANGULATION,Withheld,Withheld,Withheld,75208,Cleared by Exceptional Arrest
ASSAULT F/V,Withheld,Withheld,Withheld,75074,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75235,Cleared by Arrest
THREATENING PHONE CALL,B,M,22,75217,Cleared by Arrest
ASSAULT M/A,Withheld,Withheld,Withheld,75232,Suspended
THEFT OF PROPERTY,L,M,48,75211,Suspended
ASSUALT M/C,Withheld,Withheld,Withheld,75215,Cleared by Arrest
UUMV,B,M,31,75227,Suspended
BMV,L,F,36,75227,Suspended
FRAUD,B,F,86,75216,Open
INV OF CREDIT CARD ABUSE,B,F,55,75241,Suspended
CRIMINAL MISCHIEF,B,F,37,75224,Suspended
BURGLARY OF HABITATION,L,M,35,75240,Suspended
BMV,L,F,27,75232,Suspended
SEIZED PROPERTY,W,F,21,75087,Suspended
INTERFERENCE W/CHILD CUSTODY,Withheld,Withheld,Withheld,75149,Cleared by Exceptional Arrest
RECKLESS DAMAGE,Withheld,Withheld,Withheld,75231,Suspended
UUMV,L,F,35,75217,Suspended
WANT  TO LOCATE,B,M,49,75217,Administratively Closed
BMV,A,F,29,75230,Open
VIOLATION OF PROTECTIVE ORDE,Withheld,Withheld,Withheld,75220,Unfounded
TERR THREAT FV,L,M,40,75243,Cleared by Exceptional Arrest
AGG SEXUAL ASSAULT,Withheld,Withheld,Withheld,75220,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75212,Administratively Closed
BMV,W,F,50,75228,Suspended
THEFT,B,F,37,75236,Suspended
INTERFERENCE W/ CHILD CUSTODY,Withheld,Withheld,Withheld,75115,Cleared by Exceptional Arrest
ASSAULT M/C F/V,Withheld,Withheld,Withheld,75210,Cleared by Exceptional Arrest
WANT TO LOCATE,W,M,51,75201,Administratively Closed
RECKLESS DAMAGE,W,F,61,75214,Suspended
ACC INV DMG VEH,L,M,34,75231,Suspended
UUMV,L,M,38,75240,Suspended
BURGLARY,L,F,34,75238,Suspended
ACC INV DMG VEH,B,F,55,75115,Cleared by Exceptional Arrest
INV ASSAULT THREAT  MC,W,M,63,75238,Suspended
ROBBERY OF INDIVIDUAL,L,M,25,75216,Suspended
ASSAULT C,Withheld,Withheld,Withheld,75043,Suspended
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75248,Unfounded
AGG ASSAULT D/W FV,W,F,41,75217,Cleared by Exceptional Arrest
VIOLATION OF PROTECTIVE ORDE,Withheld,Withheld,Withheld,75216,Cleared by Arrest
RUNAWAY,Withheld,Withheld,Withheld,75217,Administratively Closed
INVESTIGATION OF BURGLARY,B,F,32,75228,Suspended
ASSAULT F/V M/C,Withheld,Withheld,Withheld,75238,Cleared by Arrest
AGG ASSUALT W/DEADLY WEAPON,L,M,29,75211,Cleared by Exceptional Arrest
UUMV,C,M,36,75006,Suspended
BMV,U,F,33,75232,Suspended
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75243,Cleared by Arrest
UUMV/ RECOVERED STOLEN,L,M,32,75223,Suspended
CRIMINAL MISCHIEF,W,M,63,75243,Suspended
ASSAULT MC FV,Withheld,Withheld,Withheld,75287,Cleared by Arrest
BMV,L,F,28,75227,Suspended
AGG ROBBERY,L,M,46,75231,Suspended
UNEXPL DEATH NATURAL DEATH,W,M,72,75234,Administratively Closed
ASSAULT FV MA,Withheld,Withheld,Withheld,75216,Open
BURGLARY OF A MOTOR VEHICLE,W,M,24,75254,Suspended
DUTY ON STRIKE UNATTEND VEH,W,M,49,78109,Suspended
ROBBERY,L,M,48,75238,Suspended
THEFT,W,F,35,75211,Suspended
THREATENING PHONE CALL,B,F,32,75237,Suspended
ASSAULT MC OFF CONTACT,Withheld,Withheld,Withheld,75216,Cleared by Arrest
AGG ROBBERY,L,M,38,75223,Open
INTERFERENCE W/ CHILD CUSTOD,Withheld,Withheld,Withheld,76120,Cleared by Exceptional Arrest
INJURED PERSON,L,M,38,75253,Suspended
BMV,W,F,27,75206,Suspended
CRIMINAL MISCHIEF,B,F,36,75231,Cleared by Exceptional Arrest
ASSAULT F/V M/A,Withheld,Withheld,Withheld,75216,Cleared by Arrest
CRIMINAL TRESPASS,A,M,82,75252,Suspended
THEFT OF PRESCRIPTIONS,B,F,41,75215,Suspended
CRIMINAL MISCHIEF,B,M,20,75220,Suspended
INV OF THEFT,W,M,51,75216,Suspended
HARRASSMENT BY ELECTRONIC ME,Withheld,Withheld,Withheld,75217,Suspended
TERRORISTIC THREATS,B,F,23,75216,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75227,Administratively Closed
INVEST OF TERRORISTIC THREAT,B,F,43,75228,Suspended
U.U.M.V.,W,M,35,75228,Suspended
INV OF FRAUD,B,F,85,75212,Suspended
BURGLARY OF A RESIDENCE,L,M,38,75214,Suspended
CRIMINAL MISCHIEF,B,F,45,75216,Suspended
UUMV,B,F,55,75227,Unfounded
INVESTIGATION OF UUMV,B,M,50,75217,Suspended
UNEXPLAINED DEATH  (NATURAL),B,M,58,75227,Open
UUMV,L,M,45,75217,Suspended
INTERFERENCE W/CHILD CUSTODY,Withheld,Withheld,Withheld,75220,Cleared by Exceptional Arrest
DUTY ON STRIKE UNATTEND VEH,B,M,55,75226,Cleared by Exceptional Arrest
WANT TO LOCATE,B,F,17,75241,Administratively Closed
THEFT AUTO ACC,L,M,28,75217,Suspended
THEFT,W,F,53,75248,Suspended
INJURED PERSON,L,M,29,75211,Suspended
BURGLARY,B,M,59,75201,Suspended
INTERFER. CHILD CUSTODY,Withheld,Withheld,Withheld,76017,Cleared by Exceptional Arrest
ACCIDENT INV DAMAGED VEH/FLID,W,M,25,75243,Suspended
ASSAULT M/C,Withheld,Withheld,Withheld,75243,Cleared by Arrest
ASSAULT F/V STRANGULATION,Withheld,Withheld,Withheld,75243,Cleared by Exceptional Arrest
AGGRAVATED SEXUAL ASSAULT,Withheld,Withheld,Withheld,75215,Suspended
UUMV,W,M,44,75237,Suspended
BMV,L,M,26,75217,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75232,Cleared by Arrest
ASSAULT M/C FV,Withheld,Withheld,Withheld,75243,Cleared by Arrest
AGGRAVATED ASSAULT FV,B,F,43,75228,Suspended
ASSAULT M/A,Withheld,Withheld,Withheld,75240,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,B,F,56,75228,Suspended
WANT TO LOCATE,L,M,40,75220,Administratively Closed
INV OF ROBBERY,B,M,63,75246,Suspended
SEXUAL ASSLT OF CHILD,Withheld,Withheld,Withheld,75235,Suspended
MVC INVOLVING DAMAGED VEHICLE,L,F,49,75211,Suspended
ATTEMPT UUMV,L,M,41,76220,Suspended
CRIMINAL MISCHIEF,B,F,29,75241,Suspended
ASSAULT PUBLIC SERVANT,Withheld,Withheld,Withheld,75241,Open
INVEST OF BMV//BMV,L,F,34,75220,Suspended
ASSAULT F/C M/C,Withheld,Withheld,Withheld,75243,Cleared by Arrest
INVESTIGATION OF STALKING,W,F,51,75287,Administratively Closed
CRIM MISCHIEF,W,F,53,75214,Suspended
THEFT,W,M,58,75208,Suspended
LOST PROPERTY,B,M,18,75212,Suspended
THEFT,B,M,42,75240,Unfounded
BMV,W,F,54,73533,Suspended
BMV,W,M,71,75211,Suspended
SEXUAL ASSAULT,Withheld,Withheld,Withheld,75217,Suspended
DUTY ON STRIKE UNATTEND VEH,W,M,24,76021,Suspended
INVESTIGATIVE THEFT,W,F,36,75220,Unfounded
THEFT,W,M,32,69345,Suspended
ACC INV DMG VEHICLE,W,F,54,75220,Suspended
CRIMINAL MISCHIEF,B,F,23,75216,Suspended
LOST PROPERTY,B,M,27,75228,Suspended
AGG ROBBERY,B,F,63,75227,Open
AGG ASSAULT D/W,L,M,39,75208,Suspended
RECKLESS DAMAGE,B,M,61,75104,Suspended
DUTY ON STRIKE UNATTEND VEH,B,F,29,75206,Suspended
INV OF HARASSMENT-PHONE CALLS,B,F,44,75287,Suspended
B.M.V.,W,F,46,75219,Suspended
ACCIDENT INVOLVING DAMAGED V,B,F,24,75216,Suspended
ASSAULT F/V,Withheld,Withheld,Withheld,75217,Suspended
UUMV,B,F,25,75203,Suspended
CRIMINAL MISCHIEF,B,F,23,75007,Suspended
THEFT,B,M,65,75241,Suspended
AGGRAVATED ROBBERY,W,M,19,75243,Suspended
FAMILY VIOLENCE ASSAULT M/A,Withheld,Withheld,Withheld,75241,Cleared by Exceptional Arrest
CRIMINAL MISCHIEF,W,M,22,75087,Suspended
F/V ASSAULT STRANGULATION,Withheld,Withheld,Withheld,75043,Cleared by Arrest
CRIMINAL MISCHIEF,L,F,32,75248,Suspended
BURGLARY,W,M,46,75206,Suspended
ASSAULT (FV) M,Withheld,Withheld,Withheld,75252,Cleared by Arrest
BURG OF STORAGE UNIT,B,M,49,30083,Suspended
SUICIDE,Withheld,Withheld,Withheld,75206,Suspended
BMV,B,M,75,75216,Suspended
BURLARY MOTOR VEH,L,F,34,75211,Suspended
CRIMINAL MISCHIEF,L,M,33,75238,Suspended
THEFT FROM PERSON,W,F,68,75238,Suspended
DUTY ON STRIKE UNATTEND VEH,L,M,53,75228,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75212,Administratively Closed
DEADLY CONDUCT/DIS ORD CONDUCT,Withheld,Withheld,Withheld,75232,Suspended
INTOXICATION ASSAULT,Withheld,Withheld,Withheld,75217,Cleared by Arrest
INV. OF ROBBERY,B,M,40,75146,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75208,Administratively Closed
AGG SEX ASSAULT,Withheld,Withheld,Withheld,75240,Suspended
THEFT,B,F,20,75232,Cleared by Arrest
BURG OF MOTOR VEH,B,M,25,75217,Suspended
BMV,W,M,34,75207,Suspended
THREATENING PHONE/TEXT,L,M,49,75217,Suspended
ACC INV DMG VEH,W,M,27,75087,Suspended
"CRIMINAL MISCHIEF, M/B",L,M,40,75220,Suspended
INV OF A BURGLARY//BURGLARY,W,M,23,75237,Suspended
ASSAULT M/A F/V,Withheld,Withheld,Withheld,75243,Cleared by Arrest
THEFT,B,M,60,75212,Suspended
FLID,L,F,30,75212,Suspended
BMV,B,M,37,75243,Suspended
BURG OF HABIT,L,F,28,75217,Suspended
INV THEFT,W,F,27,75243,Suspended
RUNAWAY,Withheld,Withheld,Withheld,75287,Administratively Closed
ASSAULT M/A,Withheld,Withheld,Withheld,75204,Suspended
INV BURGLARY HABITATION,B,M,53,75228,Suspended
BMV,B,M,27,75062,Suspended
DUTY ON SRIKE UNATTEND VEH,W,F,45,75214,Suspended
